addon_id,addon_name,addon_type,release_date
1,Sims 4,Base Game,2014-09-02
2,Holiday Celebration Pack,Free Pack,2014-12-16
3,Outdoor Retreat,Game Pack,2015-01-13
4,Get To Work,Expansion Pack,2015-03-31
5,Luxury Party,Stuff Pack,2015-05-19
6,Perfect Patio,Stuff Pack,2015-06-16
7,Spa Day,Game Pack,2015-07-14
8,Cool Kitchen,Stuff Pack,2015-08-11
9,Spooky,Stuff Pack,2015-09-29
10,Get Together,Expansion Pack,2015-12-08
11,Movie Hangout,Stuff Pack,2016-01-12
12,Romantic Garden,Stuff Pack,2016-02-09
13,Dine Out,Game Pack,2016-06-07
14,Kids Room,Stuff Pack,2016-06-28
15,Backyard,Stuff Pack,2016-07-19
16,Grim's Ghoulish Guitar Pack,Free Pack,2016-08-18
17,City Living,Expansion Pack,2016-11-01
18,Vintage Glamour,Stuff Pack,2016-12-06
19,Vampires,Game Pack,2017-01-24
20,Bowling Night,Stuff Pack,2017-03-29
21,Parenthood,Game Pack,2017-05-30
22,Fitness,Stuff Pack,2017-06-20
23,Toddler,Stuff Pack,2017-08-24
24,Cats & Dogs,Expansion Pack,2017-11-10
25,Laundry Day,Stuff Pack,2018-01-16
26,Jungle Adventure,Game Pack,2018-02-27
27,My First Pet,Stuff Pack,2018-03-13
28,Seasons,Expansion Pack,2018-06-22
29,Get Famous,Expansion Pack,2018-11-16
30,StrangerVille,Game Pack,2019-02-26
31,Island Living,Expansion Pack,2019-06-21
32,Moschino,Stuff Pack,2019-08-13
33,Realm Of Magic,Game Pack,2019-09-10
34,Discover University,Expansion Pack,2019-11-15
35,Tiny Living,Stuff Pack,2020-01-21
36,Eco Lifestyle,Expansion Pack,2020-06-05
37,Nifty Knitting,Stuff Pack,2020-07-28
38,Star Wars: Journey to Batuu,Game Pack,2020-09-08
39,Snowy Escape,Expansion Pack,2020-11-13
40,Paranormal,Stuff Pack,2021-01-26
41,Bust The Dust,Kit,2021-03-02
42,Country Kitchen,Kit,2021-03-02
43,Throwback Fit,Kit,2021-03-02
44,Courtyard Oasis,Kit,2021-05-18
45,Dream Home Decorator,Game Pack,2021-06-01
46,Cottage Living,Expansion Pack,2021-07-22
47,Industrial Loft,Kit,2021-08-26
48,Fashion Street,Kit,2021-10-05
49,Incheon Arrivals,Kit,2021-10-05
50,Blooming Rooms,Kit,2021-11-09
51,Modern Menswear,Kit,2021-12-02
52,Carnival Streetwear,Kit,2022-02-03
53,My Wedding Stories,Game Pack,2022-02-23
54,D̩cor To The Max,Kit,2022-03-21
55,Little Campers,Kit,2022-05-26
56,Moonlight Chic,Kit,2022-05-26
57,Werewolves,Game Pack,2022-06-16
58,High School Years,Expansion Pack,2022-07-28
59,First Fits,Kit,2022-09-01
60,Desert Luxe,Kit,2022-09-14
61,Everyday Clutter,Kit,2022-11-10
62,Pastel Pop,Kit,2022-11-10
63,Bathroom Clutter,Kit,2023-01-19
64,Simtimates Collection,Kit,2023-01-19
65,Growing Together,Expansion Pack,2023-03-16
66,Basement Treasures,Kit,2023-04-20
67,Greenhouse Haven,Kit,2023-04-20
68,Book Nook,Kit,2023-06-01
69,Grunge Revival,Kit,2023-06-01
70,Horse Ranch,Expansion Pack,2023-07-20
71,Modern Luxe,Kit,2023-09-07
72,Poolside Splash,Kit,2023-09-07
73,Home Chef Hustle,Stuff Pack,2023-09-28
74,For Rent,Expansion Pack,2023-12-07
75,Castle Estate,Kit,2024-01-18
76,Goth Galore,Kit,2024-01-18
77,Blast from the Past,Event,2024-02-04
78,Crystal Creations,Stuff Pack,2024-02-29
79,Party Essentials,Kit,2024-04-18
80,Urban Homage,Kit,2024-04-18
81,Cosy Bistro,Kit,2024-05-30
82,Riviera Retreat,Kit,2024-05-30
83,Happy at Home,Event,2024-05-30
84,Lovestruck,Expansion Pack,2024-07-25
85,Artist Studio,Kit,2024-09-19
86,Storybook Nursery,Kit,2024-09-19
87,Reaper's Rewards,Event,2024-09-24
88,Life & Death,Expansion Pack,2024-10-31
89,Trillyke's Sweet Slumber Party,Creator Kit,2024-11-14
90,myshunosun's Cozy Kitsch,Creator Kit,2024-11-14
91,Cozy Celebrations,Event,2024-12-03
92,Casanova Cave,Kit,2025-01-16
93,Comfy Gamer,Kit,2025-01-16
94,Secret Sanctury,Kit,2025-01-16
95,Pierisim's Refined Living Room,Creator Kit,2025-01-30
96,Madlen's Business Chic,Creator Kit,2025-01-30
97,Businesses & Hobbies,Expansion Pack,2025-03-06
98,Syboulette's Sleek Bathroom,Creator Kit,2025-04-10
99,aharris00britney's Sweet Allure,Creator Kit,2025-04-10
100,Golden Years,Kit,2025-05-01
101,Kitchen Clutter,Kit,2025-05-01
102,Restoration Workshop,Kit,2025-05-01
103,Nature's Calling,Event,2025-06-24
104,Enchanted by Nature,Expansion Pack,2025-07-10
